,frequency,quantity,change,Other,Start_Drinking,Other.1,age_group,weight_loss,fitness_goals,unproductive_time,lack_of_control,hangovers,mental_health,drinking_habits,embarassment,concern_from_others,Other.2,I want to feel in control of my drinking habits,I want to look better,I want to hit my health and fitness goals,I want to lose weight,I want to learn how to have fun without drinking,I want to feel more energised,I want to regain time for activities that are important to me,I want to see if my drinking is a problem,I want to be a better role model,I want to learn how to deal with emotions in new ways,Other.3,My social life. How am I supposed to have fun without drinking or not seem boring?,My drinking isn't actually a 'problem'. Why change if I'm not an alcoholic?,Bad habits. I always pour a drink when I get home from work.,It's not the right time; I have an event coming up where I'll need to drink.,"Alcohol is how I relax, celebrate, comfort myself everything!",Drinking is just the norm,Other.4,I've successfully done dry months (like Dry January) and kept good habits afterwards,I've successfully done dry months (like Dry January) but fell back into bad habits afterwards,I've tried dry months (like Dry January) but have struggled to complete them,I've made up drinking rules for myself and am very good at sticking with them,I made up rules drinking for myself but can never stick to them,I've read books,I've done a programme,I haven't,Roughly how much do you spend on alcohol in a week?,Score,Ending,freq1,quant1,budget,consumption,cons2,freq2,freq_w,quantity_
7,Every day,12-20 units,I want to drastically cut back and only drink on rare occasions,0,In my early teens,0,In my 30s,False,False,False,False,False,False,True,False,False,0,False,False,False,False,True,False,False,False,False,False,0,True,False,False,False,False,False,0,False,False,False,False,False,False,True,False, £40- £50,20,"Alcohol plays a big part in your life, ",7.0,16.0,45,112.0,2xabove,>=5Units,Every day,12-20 units
8,1-2 times a week,More than 20 units,I want to drastically cut back and only drink on rare occasions,0,In my late teens,0,In my 30s,False,False,False,False,False,True,False,False,False,0,False,False,True,False,False,False,False,False,False,False,0,True,False,False,False,False,False,0,False,False,False,False,False,False,False,True, £50+,10,"Alcohol is causing you more trouble than you realise, ",1.5,30.0,55,45.0,2xabove,>=5Units,1-2 times a week,20 units+
15,3-4 times a week,5-9 units,I'm not exactly sure but I need to do something different,0,In my late teens,0,In my 30s,True,False,False,True,False,False,False,False,False,0,True,True,True,True,True,False,False,False,False,False,0,True,False,False,False,True,False,0,False,False,True,False,False,False,False,False, £10- £20,7,"Alcohol is causing you more trouble than you realise, ",3.5,6.5,15,22.75,2x norm,>=5Units,3-4 times a week,5-9 units
19,Every day,12-20 units,I want to reduce how much alcohol I'm drinking,0,In my early teens,0,In my 30s,False,False,False,False,False,False,True,False,False,0,False,False,False,False,False,False,False,False,False,True,0,False,False,False,False,False,True,0,False,False,False,False,False,False,False,True, £40- £50,20,"Alcohol plays a big part in your life, ",7.0,16.0,45,112.0,2xabove,>=5Units,Every day,12-20 units
26,3-4 times a week,More than 20 units,I want to reduce how much alcohol I'm drinking,0,In my early teens,0,In my 30s,False,True,True,False,False,False,False,False,False,0,False,True,True,False,False,False,False,False,True,False,0,True,False,False,False,False,True,0,False,False,False,False,False,False,False,True, £50+,11,"Alcohol plays a big part in your life, ",3.5,30.0,55,105.0,2xabove,>=5Units,3-4 times a week,20 units+
29,1-2 times a week,More than 20 units,I want to reduce how much alcohol I'm drinking,0,In my early teens,0,In my 30s,True,False,False,False,False,False,False,False,False,0,False,False,False,True,False,False,False,False,False,False,0,True,False,False,False,False,False,0,False,True,False,False,False,False,False,False, £50+,10,"Alcohol is causing you more trouble than you realise, ",1.5,30.0,55,45.0,2xabove,>=5Units,1-2 times a week,20 units+
31,3-4 times a week,8-12 units,I want to detox and reset my drinking habits,0,In my early teens,0,In my 30s,True,True,False,True,False,False,False,True,False,0,True,True,True,False,True,True,True,False,True,False,0,False,False,True,False,True,False,0,False,False,False,False,False,False,False,True, £40- £50,9,"Alcohol is causing you more trouble than you realise, ",3.5,10.0,45,35.0,2xabove,>=5Units,3-4 times a week,8-12 units
40,1-2 times a week,More than 20 units,I want to completely stop drinking alcohol for good,0,In my late teens,0,In my 30s,False,False,False,False,True,False,True,True,True,0,False,True,False,False,False,True,False,False,False,False,0,False,False,False,False,False,False,I sometimes want to block out problems,False,True,True,False,False,False,False,False, £50+,10,"Alcohol is causing you more trouble than you realise, ",1.5,30.0,55,45.0,2xabove,>=5Units,1-2 times a week,20 units+
42,3-4 times a week,8-12 units,I want to detox and reset my drinking habits,0,In my early teens,0,In my 30s,False,False,False,False,False,False,False,False,True,0,True,False,True,False,False,False,False,True,False,False,0,True,False,False,False,True,True,0,False,False,False,False,False,False,False,True, £50+,9,"Alcohol is causing you more trouble than you realise, ",3.5,10.0,55,35.0,2xabove,>=5Units,3-4 times a week,8-12 units
43,1-2 times a week,8-12 units,I want to reduce how much alcohol I'm drinking,0,In my late teens,0,In my 30s,True,False,False,False,False,False,False,False,False,0,False,False,False,True,False,False,False,False,False,False,0,False,True,False,False,False,False,0,False,False,False,False,True,False,False,False, £10- £20,8,"Alcohol is causing you more trouble than you realise, ",1.5,10.0,15,15.0,within  norm,>=5Units,1-2 times a week,8-12 units
